absolute_time,datetime,relative_seconds,layer,event_type,evidence_id,description,confidence,source_data
1703188985.964,2023-12-22 05:03:05.964,0.0,Network,Packet,NET_0,ICMP packet: fe80::6c9b:9e0d:591c:fc8a:34084 → fe80::813f:cb21:c6d4:b7c2:49152,HIGH,Unix timestamp from network capture
1703188986.0317085,2023-12-22 05:03:06.031 (±30s),0.06770849227905273,Host,System State,HOST_141,"CPU: 9556990835.667, Memory: 275208539.000",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703188986.1216216,2023-12-22 05:03:06.121 (±30s),0.1576216220855713,Host,System State,HOST_142,"CPU: 9551189217.000, Memory: 285870844.500",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703188986.155,2023-12-22 05:03:06.155,0.19099998474121094,Network,Packet,NET_1,ICMP packet: 192.168.137.198:33234 → 192.168.137.87:8765,HIGH,Unix timestamp from network capture
1703188986.5334656,2023-12-22 05:03:06.533 (±30s),0.5694656372070312,Host,System State,HOST_143,"CPU: 9636618409.167, Memory: 287518709.269",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703188987.145,2023-12-22 05:03:07.145,1.180999994277954,Network,Packet,NET_2,ICMP packet: 192.168.137.85:0 → 192.168.137.198:0,HIGH,Unix timestamp from network capture
1703188990.8934932,2023-12-22 05:03:10.893 (±30s),4.929493188858032,Host,System State,HOST_144,"CPU: 9575781847.833, Memory: 249661904.692",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703188990.9567025,2023-12-22 05:03:10.956 (±30s),4.992702484130859,Host,System State,HOST_4131,"CPU: 2428696011.167, Memory: 141143517.000",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703188991.1036794,2023-12-22 05:03:11.103 (±30s),5.139679431915283,Host,System State,HOST_145,"CPU: 9622909870.167, Memory: 265721920.308",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703188991.1896536,2023-12-22 05:03:11.189 (±30s),5.225653648376465,Host,System State,HOST_146,"CPU: 9626343247.333, Memory: 292847051.962",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703188991.6054358,2023-12-22 05:03:11.605 (±30s),5.641435861587524,Host,System State,HOST_147,"CPU: 9810411459.500, Memory: 266429687.692",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703188995.9575171,2023-12-22 05:03:15.957 (±30s),9.99351716041565,Host,System State,HOST_148,"CPU: 9654472427.833, Memory: 254327621.038",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703188996.0168517,2023-12-22 05:03:16.016 (±30s),10.052851676940918,Host,System State,HOST_4132,"CPU: 1753922313.833, Memory: 121845636.077",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703188996.1717277,2023-12-22 05:03:16.171 (±30s),10.207727670669556,Host,System State,HOST_149,"CPU: 9576965884.833, Memory: 262095077.808",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703188996.269628,2023-12-22 05:03:16.269 (±30s),10.305628061294556,Host,System State,HOST_150,"CPU: 9659114282.833, Memory: 289676501.000",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703188996.693472,2023-12-22 05:03:16.693 (±30s),10.729471921920776,Host,System State,HOST_151,"CPU: 9692860206.167, Memory: 275261654.500",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189001.013538,2023-12-22 05:03:21.013 (±30s),15.049537897109985,Host,System State,HOST_152,"CPU: 9610358728.500, Memory: 274074129.269",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189001.0847554,2023-12-22 05:03:21.084 (±30s),15.120755434036255,Host,System State,HOST_4133,"CPU: 2095436416.500, Memory: 151423175.038",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189001.2397282,2023-12-22 05:03:21.239 (±30s),15.275728225708008,Host,System State,HOST_153,"CPU: 9594628543.833, Memory: 288065405.462",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189001.3456707,2023-12-22 05:03:21.345 (±30s),15.381670713424683,Host,System State,HOST_154,"CPU: 9599978989.333, Memory: 287677277.462",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
1703189001.7894716,2023-12-22 05:03:21.789 (±30s),15.825471639633179,Host,System State,HOST_155,"CPU: 9669832355.833, Memory: 284678261.846",MEDIUM,ESTIMATED from Network attack start (±30s uncertainty)
