time_rel,power_mW,bus_voltage_V,current_mA
0,0.6481711525189785,0.29142857142857315,0.6392456858210283
1,0.6481711525189785,0.29142857142857315,0.6392456858210283
2,0.6481711525189785,0.29142857142857315,0.6392456858210283
3,0.6481711525189785,0.29142857142857315,0.6392456858210283
4,0.6481711525189785,0.29142857142857315,0.6392456858210283
5,0.6481711525189785,0.29142857142857315,0.6392456858210283
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,0.655672163918041,0.2873563218390835,0.6561386181131104
