time_rel,power_mW,bus_voltage_V,current_mA
0,0.10177679521821006,0.7966101694915346,0.09181670430799754
1,0.10177679521821006,0.7966101694915346,0.09181670430799754
2,0.10177679521821006,0.7966101694915346,0.09181670430799754
3,0.10177679521821006,0.7966101694915346,0.09181670430799754
4,0.10177679521821006,0.7966101694915346,0.09181670430799754
5,0.10177679521821006,0.7966101694915346,0.09181670430799754
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,0.0722971847409628,0.812643678160929,0.07158500450895348
